entry,name,size,params,callees
00401300,FUN_00401300,63,2,""
00401340,FUN_00401340,22,1,""
00401360,FUN_00401360,123,1,""
004013e0,FUN_004013e0,172,2,"EnterCriticalSection LeaveCriticalSection"
00401490,FUN_00401490,172,2,"EnterCriticalSection LeaveCriticalSection"
00401540,FUN_00401540,267,1,"EnterCriticalSection FUN_004018f0 LeaveCriticalSection"
00401670,FUN_00401670,232,0,"EnterCriticalSection FUN_004018f0 LeaveCriticalSection"
00401780,FUN_00401780,113,2,"EnterCriticalSection FUN_004018f0 LeaveCriticalSection"
00401800,FUN_00401800,48,1,"FUN_00401540 FUN_00401780 FUN_00403e90"
00401830,FUN_00401830,104,1,"FUN_0048a697"
004018a0,FUN_004018a0,79,2,"EnterCriticalSection FUN_004018f0 LeaveCriticalSection"
004018f0,FUN_004018f0,170,2,"FID_conflict:_free"
004019b0,FUN_004019b0,40,3,"FUN_004013e0 FUN_00401830"
004019e0,FUN_004019e0,40,3,"FUN_00401490 FUN_00401830"
00401a10,FUN_00401a10,40,3,"FUN_004013e0 FUN_00401830"
00401a40,FUN_00401a40,40,3,"FUN_00401490 FUN_00401830"
00401a70,FUN_00401a70,133,0,"FUN_00403400 FUN_0048a688 joyGetDevCapsA joyGetPosEx"
00401b00,FUN_00401b00,55,4,""
00401b40,FUN_00401b40,44,4,""
00401b70,FUN_00401b70,768,1,"FUN_0048a688 FUN_00495300 joyGetPosEx"
00401e70,FUN_00401e70,244,0,"FUN_0048a688 FUN_00495300 joyGetPosEx"
00401fa0,FUN_00401fa0,990,0,"FUN_00401b70 FUN_00407210 FUN_0048a688 GetKeyboardState"
004023a0,FUN_004023a0,956,1,"FUN_00401b70 FUN_00407210 FUN_0048a688 GetKeyboardState"
00402760,FUN_00402760,904,0,"FUN_00401b70 FUN_0048a688 GetKeyboardState"
00402af0,FUN_00402af0,105,0,"FUN_00495300 GetKeyboardState"
00402b60,FUN_00402b60,107,0,"FUN_0048a688 GetKeyboardState SetKeyboardState"
00402bd0,FUN_00402bd0,276,6,"FID_conflict:_free FUN_0048cb20 _malloc"
00402cf0,FUN_00402cf0,268,6,"FID_conflict:_free FUN_0048cb20 _malloc"
00402e00,FUN_00402e00,444,3,"CloseHandle CreateFileA EnterCriticalSection FUN_00407290 FUN_004073d0 FUN_00468c50 FUN_0048a940 GetFileSize LeaveCriticalSection ReadFile __stricmp _malloc"
00402fc0,FUN_00402fc0,128,1,"CloseHandle CreateFileA EnterCriticalSection LeaveCriticalSection"
