entry,name,size,params,callees
00401150,FUN_00401150,35,2,""
00401180,FUN_00401180,171,2,"EnterCriticalSection LeaveCriticalSection"
00401230,FUN_00401230,171,2,"EnterCriticalSection LeaveCriticalSection"
004012e0,FUN_004012e0,278,1,"EnterCriticalSection FUN_004015a0 LeaveCriticalSection"
00401420,FUN_00401420,241,0,"EnterCriticalSection FUN_004015a0 LeaveCriticalSection"
00401530,FUN_00401530,106,1,"FUN_0048dc71"
004015a0,FUN_004015a0,162,2,"FUN_0048dca1"
00401650,FUN_00401650,513,1,"__security_check_cookie _memset"
00401860,FUN_00401860,385,0,"XInputGetState __security_check_cookie"
004019f0,FUN_004019f0,599,0,"GetKeyboardState XInputGetState __security_check_cookie _memset"
00401c50,FUN_00401c50,491,0,"FUN_00401650 FUN_00401860 FUN_00404e90 GetKeyboardState __security_check_cookie"
00401e40,FUN_00401e40,272,6,"FUN_004914c0 FUN_00491a34 FUN_00491a3f"
00401f50,FUN_00401f50,271,6,"FUN_004914c0 FUN_00491a34 FUN_00491a3f"
00402060,FUN_00402060,444,3,"CloseHandle CreateFileA EnterCriticalSection FUN_00404e80 FUN_00404f60 FUN_0046ed10 FUN_0048f130 FUN_00491a34 GetFileSize LeaveCriticalSection ReadFile __stricmp"
00402220,FUN_00402220,128,1,"CloseHandle CreateFileA EnterCriticalSection LeaveCriticalSection"
004022a0,FUN_004022a0,310,3,"CloseHandle CreateFileA EnterCriticalSection FUN_00404e80 FormatMessageA GetLastError LeaveCriticalSection LocalFree WriteFile"
004023e0,FUN_004023e0,182,1,"CreateFileA EnterCriticalSection FUN_00404e80 FormatMessageA GetLastError LeaveCriticalSection LocalFree"
004024a0,FUN_004024a0,87,1,"CloseHandle FUN_00491a34 ReadFile"
00402500,FUN_00402500,46,0,"CloseHandle LeaveCriticalSection"
00402530,FUN_00402530,193,3,"EnterCriticalSection FUN_00404e40 LeaveCriticalSection __alloca_probe __security_check_cookie"
00402600,FUN_00402600,196,3,"EnterCriticalSection FUN_00404e40 LeaveCriticalSection __security_check_cookie"
004026d0,FUN_004026d0,101,1,"EnterCriticalSection LeaveCriticalSection"
00402740,FUN_00402740,139,1,"EnterCriticalSection LeaveCriticalSection"
004027d0,FUN_004027d0,56,1,"FUN_00402740"
00402810,FUN_00402810,64,1,"FUN_00402740"
00402850,FUN_00402850,64,1,"FUN_00402740"
00402890,FUN_00402890,82,0,""
004028f0,FUN_004028f0,71,0,""
00402940,FUN_00402940,65,1,""
00402990,FUN_00402990,66,1,""
004029e0,FUN_004029e0,121,2,""
00402a60,FUN_00402a60,23,1,""
00402a80,FUN_00402a80,104,1,""
00402af0,FUN_00402af0,41,2,"FUN_00402b30 FUN_0048dca1"
00402b20,FUN_00402b20,11,1,"FUN_00402b30"
00402b30,FUN_00402b30,126,1,"CloseHandle Sleep WaitForSingleObject"
00402bb0,FUN_00402bb0,61,3,"FUN_00402b30 __beginthreadex"
00402bf0,FUN_00402bf0,186,1,"FUN_00404d10 FUN_00404d70 FUN_00404dd0"
00402cc0,FUN_00402cc0,692,1,"FUN_004028f0 FUN_00404b40 FUN_00404b80 FUN_00404c70 FUN_00404d70 FUN_00404dd0 FUN_00404df0 FUN_00404e10"
00402f90,FUN_00402f90,29,1,"FUN_00402cc0"
00402fb0,FUN_00402fb0,1575,1,"FUN_004a9ea0"
00403660,FUN_00403660,567,2,"FUN_004a9ce0 FUN_004a9ea0 __security_check_cookie"
004038a0,FUN_004038a0,786,8,""
00403bc0,FUN_00403bc0,870,6,"FUN_00404dd0"
00403f30,FUN_00403f30,334,5,"FUN_00404df0 FUN_00404e10 __libm_sse2_sqrt_precise"
00404080,FUN_00404080,959,8,"FUN_004038a0 FUN_004a9ce0 FUN_004a9ea0 __security_check_cookie"
00404440,FUN_00404440,1763,7,"FUN_00403660 FUN_004a9ce0 FUN_004a9ea0 __libm_sse2_sqrt_precise __security_check_cookie"
00404b30,FUN_00404b30,8,0,""
00404b40,FUN_00404b40,55,0,"FUN_004aa3e0"
00404b80,FUN_00404b80,57,1,"FUN_004a94a0"
00404bc0,FUN_00404bc0,92,2,""
00404c20,FUN_00404c20,77,1,""
00404c70,FUN_00404c70,142,3,""
00404d00,FUN_00404d00,3,1,""
00404d10,FUN_00404d10,88,1,""
00404d70,FUN_00404d70,77,1,""
00404dc0,FUN_00404dc0,5,0,""
00404dd0,FUN_00404dd0,32,3,""
00404df0,FUN_00404df0,23,1,"FUN_004a9ce0"
00404e10,FUN_00404e10,23,1,"FUN_004a9ea0"
00404e30,FUN_00404e30,6,0,""
