entry,name,size,params,callees
00401000,FUN_00401000,27,0,""
00401020,FUN_00401020,239,0,""
00401110,FUN_00401110,1059,0,"Direct3DCreate8 FUN_00401540 FUN_004018a0 FUN_00401a00 FUN_00401ab0 FUN_0041cc50 FUN_0060508b __security_check_cookie _memset _sprintf"
00401540,FUN_00401540,604,0,"FUN_00401f50 FUN_00402250 FUN_004023b0 FUN_004025f0 FUN_00604c82 _strlen"
004017a0,FUN_004017a0,245,0,"FUN_00401540 FUN_00401a00 FUN_0060508b"
004018a0,FUN_004018a0,340,0,"FUN_004017a0 GetSystemMetrics SetWindowPos ShowCursor"
00401a00,FUN_00401a00,29,0,"MessageBoxA"
00401a20,FUN_00401a20,43,0,""
00401a50,FUN_00401a50,39,0,""
00401a80,FUN_00401a80,43,0,""
00401ab0,FUN_00401ab0,54,0,""
00401af0,FUN_00401af0,13,0,""
00401b00,FUN_00401b00,31,0,""
00401b20,FUN_00401b20,248,0,"FUN_00401a00 FUN_00605b61"
00401c20,FUN_00401c20,340,0,"FUN_00401a00 FUN_00605b61"
00401d80,FUN_00401d80,376,0,""
00401f00,FUN_00401f00,72,0,"FUN_00401a00 FUN_00608666"
00401f50,FUN_00401f50,463,0,""
00402140,FUN_00402140,270,0,""
00402250,FUN_00402250,308,0,"FUN_00402250"
004023b0,FUN_004023b0,370,0,""
00402540,FUN_00402540,161,0,""
004025f0,FUN_004025f0,102,0,""
00402660,FUN_00402660,36,0,"FUN_00402690"
00402690,FUN_00402690,306,0,"FUN_00401a00"
004027d0,FUN_004027d0,196,0,""
004028a0,FUN_004028a0,13,0,""
004028b0,FUN_004028b0,10,0,""
004028c0,FUN_004028c0,37,0,""
004028f0,FUN_004028f0,123,0,"FUN_004017a0"
00402970,FUN_00402970,128,0,"FUN_004017a0"
004029f0,FUN_004029f0,857,0,"FUN_006406ac"
00402d50,FUN_00402d50,1185,0,"FUN_006406ac"
00403200,FUN_00403200,507,0,"FUN_006406ac"
00403400,FUN_00403400,540,0,"FUN_006406ac"
00403620,FUN_00403620,742,0,"FUN_006406ac"
00403910,FUN_00403910,632,0,"FUN_006406ac"
00403b90,FUN_00403b90,76,0,"FUN_00404300 FUN_00404380"
